route_id,stops,num_stops,total_pallets,total_duration_sec,total_duration_hms
Sat_00081,Four Square St Heliers;New World Eastridge,2,4,9307.45,02:35:07
Sat_00082,Pak 'n Save Royal Oak;Four Square Onehunga,2,7,9335.49,02:35:35
Sat_00083,New World Mt Roskill;New World New Lynn;Four Square Glen Eden,3,6,9368.24,02:36:08
Sat_00084,New World Mt Roskill;New World Green Bay;Four Square Glen Eden,3,6,9371.75,02:36:11
Sat_00085,Four Square Onehunga;Pak 'n Save Royal Oak,2,7,9379.0,02:36:19
Sat_00086,New World Mt Roskill;New World Newmarket;Four Square Eden Terrace,3,6,9473.53,02:37:53
Sat_00087,Four Square Eden Terrace;Four Square Ellerslie;Four Square Remuera;New World Remuera,4,5,9498.56,02:38:18
Sat_00088,New World Mt Roskill;Four Square Eden Terrace;New World Newmarket,3,6,9528.31,02:38:48
Sat_00089,New World Mt Roskill;New World Victoria Park;Four Square Eden Terrace,3,6,9624.2,02:40:24
Sat_00090,Four Square Eden Terrace;New World Stonefields;Four Square Remuera,3,5,9754.17,02:42:34
Sat_00091,Pak 'n Save Manukau,1,6,9836.7,02:43:56
Sat_00092,Four Square Eden Terrace;New World Metro Queen St;New World Victoria Park,3,6,9849.06,02:44:09
Sat_00093,New World Hobsonville;Four Square Hobsonville;Four Square Fair Price Henderson,3,5,10071.74,02:47:51
Sat_00094,Four Square Eden Terrace;New World Metro Queen St;New World Newmarket,3,6,10100.06,02:48:20
Sat_00095,New World Mt Roskill;New World Newmarket;Four Square Ellerslie,3,6,10142.76,02:49:02
Sat_00096,New World Mt Roskill;New World Mt Albert;Four Square Remuera,3,6,10154.48,02:49:14
Sat_00097,Pak 'n Save Highland Park,1,5,10158.37,02:49:18
Sat_00098,New World Newmarket;New World Remuera;Four Square Remuera,3,6,10168.93,02:49:28
Sat_00099,New World Mt Roskill;Pak 'n Save Royal Oak,2,8,10294.99,02:51:34
Sat_00100,New World Mt Roskill;Four Square Ellerslie;Four Square Remuera;New World Remuera,4,6,10347.96,02:52:27
Sat_00101,New World Eastridge;Four Square Fair Price Henderson,2,4,10370.7,02:52:50
Sat_00102,New World Browns Bay;New World Metro Queen St,2,4,10384.16,02:53:04
Sat_00103,Pak 'n Save Mt Albert;New World Mt Albert,2,8,10385.73,02:53:05
Sat_00104,New World Mt Albert;Pak 'n Save Mt Albert,2,8,10400.16,02:53:20
Sat_00105,Pak 'n Save Lincoln Road,1,7,10401.89,02:53:21
Sat_00106,Pak 'n Save Sylvia Park,1,6,10409.55,02:53:29
Sat_00107,New World Mt Albert;New World Point Chevalier;Four Square Eden Terrace,3,7,10433.84,02:53:53
Sat_00108,New World New Lynn;Four Square Glen Eden;New World Green Bay,3,7,10481.35,02:54:41
Sat_00109,New World Mt Roskill;New World Howick,2,5,10591.34,02:56:31
Sat_00110,New World New Lynn;Pak 'n Save Mt Albert,2,8,10623.84,02:57:03
Sat_00111,Four Square St Heliers;New World Eastridge;Four Square Remuera,3,5,10625.26,02:57:05
Sat_00112,New World Mt Roskill;New World Mt Albert;New World Metro Queen St,3,7,10679.03,02:57:59
Sat_00113,New World Mt Roskill;New World Green Bay;Four Square Fair Price Henderson,3,6,10684.21,02:58:04
Sat_00114,Pak 'n Save Mt Albert;New World Point Chevalier,2,8,10702.27,02:58:22
Sat_00115,New World Long Bay;Four Square Torbay,2,4,10741.36,02:59:01
Sat_00116,Four Square Torbay;New World Long Bay,2,4,10742.98,02:59:02
Sat_00117,New World Stonefields;Four Square Pakuranga Heights,2,5,10744.73,02:59:04
Sat_00118,New World Mt Roskill;New World Metro Queen St;New World Victoria Park,3,7,10748.7,02:59:08
Sat_00119,New World Stonefields;Four Square Remuera;New World Remuera,3,6,10771.91,02:59:31
Sat_00120,Four Square Pakuranga Heights;New World Howick,2,5,10783.58,02:59:43
Sat_00121,New World Mt Roskill;New World Mt Albert;New World Point Chevalier,3,8,10790.16,02:59:50
Sat_00122,New World Green Bay;New World New Lynn;Four Square Glen Eden,3,7,10816.97,03:00:16
Sat_00123,New World Mt Roskill;Pak 'n Save Westgate,2,7,10840.45,03:00:40
Sat_00124,New World Mt Roskill;New World Point Chevalier;New World Mt Albert,3,8,10889.96,03:01:29
Sat_00125,New World Point Chevalier;New World Mt Albert;New World Mt Roskill,3,8,10893.3,03:01:33
Sat_00126,Pak 'n Save Ormiston,1,6,10897.23,03:01:37
Sat_00127,Pak 'n Save Henderson,1,7,10911.09,03:01:51
Sat_00128,New World New Lynn;New World Green Bay;New World Mt Roskill,3,8,10924.79,03:02:04
Sat_00129,New World Mt Roskill;New World New Lynn;New World Green Bay,3,8,10924.8,03:02:04
Sat_00130,New World Mt Roskill;New World Green Bay;New World New Lynn,3,8,10925.78,03:02:05
Sat_00131,New World Mt Roskill;Four Square Botany Junction;New World Ormiston,3,6,10936.56,03:02:16
Sat_00132,New World Mt Roskill;New World Devonport,2,5,10949.5,03:02:29
Sat_00133,New World Mt Roskill;Pak 'n Save Mangere,2,8,11001.01,03:03:21
Sat_00134,New World Mt Roskill;New World Newmarket;New World Remuera,3,7,11010.87,03:03:30
Sat_00135,New World Mt Roskill;New World New Lynn;Four Square Hobsonville,3,6,11019.16,03:03:39
Sat_00136,Pak 'n Save Mangere;New World Mt Roskill,2,8,11027.14,03:03:47
