route_id,stops,num_stops,total_pallets,total_duration_sec,cost,over_policy_35h,overtime_4h,total_duration_hms
Tue_00044,New World Newmarket;Four Square Ellerslie;Four Square Eden Terrace,3,13,3838.57,234.58,False,False,01:03:58.570000
Tue_00045,Four Square Ellerslie;Four Square Eden Terrace;New World Point Chevalier,3,13,4008.56,244.97,False,False,01:06:48.560000
Tue_00046,Four Square Ellerslie;New World Stonefields;Four Square Eden Terrace,3,14,4236.13,258.87,False,False,01:10:36.130000
Tue_00047,New World Mt Albert;Four Square Eden Terrace;Four Square Ellerslie,3,15,3735.64,228.29,False,False,01:02:15.640000
Tue_00048,Four Square Ellerslie;New World Remuera;Four Square Eden Terrace,3,15,3935.92,240.53,False,False,01:05:35.920000
Tue_00049,Four Square Ellerslie;Four Square Eden Terrace;New World Victoria Park,3,16,4381.71,267.77,False,False,01:13:01.710000
Tue_00050,Four Square Remuera;Four Square Eden Terrace,2,7,3626.07,221.59,False,False,01:00:26.070000
Tue_00051,Four Square Remuera;New World Metro Queen St;Four Square Eden Terrace,3,11,4282.59,261.71,False,False,01:11:22.590000
Tue_00052,Four Square Eden Terrace;Four Square Remuera;New World Eastridge,3,13,4597.51,280.96,False,False,01:16:37.510000
Tue_00053,New World Newmarket;Four Square Remuera;Four Square Eden Terrace,3,13,3846.97,235.09,False,False,01:04:06.970000
Tue_00054,Four Square Remuera;Four Square Eden Terrace;New World Point Chevalier,3,13,4016.96,245.48,False,False,01:06:56.960000
Tue_00055,New World Stonefields;Four Square Remuera;Four Square Eden Terrace,3,14,4299.38,262.74,False,False,01:11:39.380000
Tue_00056,New World Mt Albert;Four Square Eden Terrace;Four Square Remuera,3,15,3744.04,228.8,False,False,01:02:24.040000
Tue_00057,New World Remuera;Four Square Remuera;Four Square Eden Terrace,3,15,3727.1,227.77,False,False,01:02:07.100000
Tue_00058,Four Square Remuera;Four Square Eden Terrace;New World Victoria Park,3,16,4390.11,268.28,False,False,01:13:10.110000
Tue_00059,Four Square Eden Terrace;New World Metro Queen St,2,7,3075.17,187.93,False,False,00:51:15.170000
Tue_00060,New World Newmarket;New World Metro Queen St;Four Square Eden Terrace,3,13,3608.61,220.53,False,False,01:00:08.610000
Tue_00061,Four Square Eden Terrace;New World Metro Queen St;New World Point Chevalier,3,13,3466.06,211.81,False,False,00:57:46.060000
Tue_00062,New World Mt Albert;Four Square Eden Terrace;New World Metro Queen St,3,15,3138.35,191.79,False,False,00:52:18.350000
Tue_00063,New World Remuera;New World Metro Queen St;Four Square Eden Terrace,3,15,4104.13,250.81,False,False,01:08:24.130000
Tue_00064,New World Victoria Park;New World Metro Queen St;Four Square Eden Terrace,3,16,3350.7,204.76,False,False,00:55:50.700000
Tue_00065,New World Newmarket;Four Square Eden Terrace,2,9,2952.09,180.41,False,False,00:49:12.090000
Tue_00066,New World Newmarket;Four Square Eden Terrace;New World Point Chevalier,3,15,3342.98,204.29,False,False,00:55:42.980000
Tue_00067,New World Newmarket;New World Stonefields;Four Square Eden Terrace,3,16,4369.51,267.03,False,False,01:12:49.510000
Tue_00068,Four Square Eden Terrace;New World Point Chevalier,2,9,2763.44,168.88,False,False,00:46:03.440000
Tue_00069,New World Mt Roskill;Four Square Eden Terrace;New World Point Chevalier,3,16,2804.88,171.41,False,False,00:46:44.880000
Tue_00070,New World New Lynn;New World Point Chevalier;Four Square Eden Terrace,3,16,3483.97,212.91,False,False,00:58:03.970000
Tue_00071,New World Mt Albert;Four Square Eden Terrace,2,11,2435.73,148.85,False,False,00:40:35.730000
Tue_00072,New World Remuera;Four Square Eden Terrace,2,11,3447.61,210.69,False,False,00:57:27.610000
Tue_00073,New World Victoria Park;Four Square Eden Terrace,2,12,3102.76,189.61,False,False,00:51:42.760000
