route_id,stops,num_stops,total_pallets,total_duration_sec,cost,over_policy_35h,overtime_4h,total_duration_hms
Mon_00045,Four Square Cockle Bay;Pak 'n Save Botany,2,14,20596.61,1500.0,True,True,05:43:16.610000
Mon_00046,Four Square Ellerslie,1,3,6640.42,405.8,False,False,01:50:40.420000
Mon_00047,Four Square Ellerslie;Four Square Onehunga,2,6,9523.02,581.96,False,False,02:38:43.020000
Mon_00048,Four Square Onehunga;Four Square Ellerslie;Four Square Remuera,3,9,13020.65,795.71,True,False,03:37:00.650000
Mon_00049,Four Square Onehunga;Four Square Ellerslie;Four Square Remuera;Four Square Eden Terrace,4,13,17557.9,1190.0,True,True,04:52:37.900000
Mon_00050,Four Square Onehunga;Four Square Ellerslie;Four Square Remuera;Four Square St Heliers,4,13,18764.89,1500.0,True,True,05:12:44.890000
Mon_00051,Four Square Onehunga;Four Square Ellerslie;Four Square Remuera;New World Metro Queen St,4,13,17990.94,1190.0,True,True,04:59:50.940000
Mon_00052,New World Mt Roskill;Four Square Onehunga;Four Square Ellerslie;Four Square Remuera,4,16,20622.09,1500.0,True,True,05:43:42.090000
Mon_00053,Four Square Onehunga;Four Square Ellerslie;New World Stonefields;Four Square Remuera,4,16,21133.56,1500.0,True,True,05:52:13.560000
Mon_00054,Four Square Onehunga;Four Square Ellerslie;Four Square Eden Terrace,3,10,14101.58,861.76,True,False,03:55:01.580000
Mon_00055,Four Square Eden Terrace;New World Metro Queen St;Four Square Ellerslie;Four Square Onehunga,4,14,19048.26,1500.0,True,True,05:17:28.260000
Mon_00056,Four Square Onehunga;Four Square Ellerslie;New World Stonefields,3,13,17742.78,1190.0,True,True,04:55:42.780000
Mon_00057,Four Square Onehunga;Four Square Ellerslie;Pak 'n Save Glen Innes,3,16,21894.67,1810.0,True,True,06:04:54.670000
Mon_00058,Four Square Ellerslie;Four Square Onehunga;Pak 'n Save Mangere,3,16,21518.46,1500.0,True,True,05:58:38.460000
Mon_00059,Four Square Ellerslie;Four Square Remuera,2,6,10096.74,617.02,False,False,02:48:16.740000
Mon_00060,Four Square Ellerslie;Four Square Remuera;Four Square Eden Terrace,3,10,14633.99,1190.0,True,True,04:03:53.990000
Mon_00061,Four Square Eden Terrace;Four Square Ellerslie;Four Square Remuera;Four Square St Heliers,4,14,20433.02,1500.0,True,True,05:40:33.020000
Mon_00062,Four Square Ellerslie;Four Square Remuera;New World Metro Queen St;Four Square Eden Terrace,4,14,19610.51,1500.0,True,True,05:26:50.510000
Mon_00063,Four Square Ellerslie;Four Square Remuera;Four Square St Heliers,3,10,15840.98,1190.0,True,True,04:24:00.980000
Mon_00064,Four Square Ellerslie;Four Square Remuera;Four Square St Heliers;New World Metro Queen St,4,14,20550.88,1500.0,True,True,05:42:30.880000
