route_id,stops,num_stops,total_pallets,total_duration_sec,cost,over_policy_35h,overtime_4h,total_duration_hms
Thu_00046,Four Square Fair Price Henderson;Pak 'n Save Henderson,2,13,17727.13,1190.0,True,True,04:55:27.130000
Thu_00047,Pak 'n Save Lincoln Road;Four Square Fair Price Henderson,2,16,20566.51,1500.0,True,True,05:42:46.510000
Thu_00048,Four Square Fair Price Henderson;Pak 'n Save Westgate,2,16,21317.52,1500.0,True,True,05:55:17.520000
Thu_00049,Four Square Pakuranga Heights,1,3,7522.04,459.68,False,False,02:05:22.040000
Thu_00050,New World Howick;Four Square Pakuranga Heights,2,11,17202.44,1190.0,True,True,04:46:42.440000
Thu_00051,Four Square Pakuranga Heights;New World Botany,2,12,17736.21,1190.0,True,True,04:55:36.210000
Thu_00052,Four Square Pakuranga Heights;Pak 'n Save Botany,2,12,17815.81,1190.0,True,True,04:56:55.810000
Thu_00053,Pak 'n Save Highland Park;Four Square Pakuranga Heights,2,13,18970.91,1500.0,True,True,05:16:10.910000
Thu_00054,Four Square Pakuranga Heights;Pak 'n Save Sylvia Park,2,14,19772.66,1500.0,True,True,05:29:32.660000
Thu_00055,New World Metro Shore City,1,3,7375.23,450.71,False,False,02:02:55.230000
Thu_00056,New World Metro Shore City;New World Milford,2,11,16588.98,1190.0,True,True,04:36:28.980000
Thu_00057,Pak 'n Save Wairau Road;New World Metro Shore City,2,14,19847.47,1500.0,True,True,05:30:47.470000
Thu_00058,Four Square Britomart,1,4,7244.43,442.72,False,False,02:00:44.430000
Thu_00059,Four Square Britomart;Four Square Eden Terrace,2,8,11853.38,724.37,False,False,03:17:33.380000
Thu_00060,Four Square Britomart;Four Square Ellerslie;Four Square Eden Terrace,3,12,17312.12,1190.0,True,True,04:48:32.120000
Thu_00061,Four Square Britomart;Four Square Remuera;Four Square Eden Terrace,3,12,17320.53,1190.0,True,True,04:48:40.530000
Thu_00062,Four Square Britomart;Four Square St Heliers;Four Square Remuera;Four Square Eden Terrace,4,16,22696.29,1810.0,True,True,06:18:16.290000
Thu_00063,Four Square Britomart;New World Metro Queen St;Four Square Eden Terrace,3,12,16173.38,1190.0,True,True,04:29:33.380000
Thu_00064,Four Square Britomart;New World Remuera;Four Square Eden Terrace,3,16,21462.07,1500.0,True,True,05:57:42.070000
Thu_00065,Four Square Britomart;New World Metro Queen St,2,8,11629.9,710.72,False,False,03:13:49.900000
Thu_00066,Four Square Britomart;New World Metro Queen St;New World Newmarket,3,15,19734.79,1500.0,True,True,05:28:54.790000
Thu_00067,Four Square Britomart;New World Metro Queen St;New World Remuera,3,16,21310.32,1500.0,True,True,05:55:10.320000
Thu_00068,New World Victoria Park;Four Square Britomart,2,13,17270.73,1190.0,True,True,04:47:50.730000
Thu_00069,Four Square Eden Terrace,1,4,6692.55,408.99,False,False,01:51:32.550000
Thu_00070,Four Square Ellerslie;Four Square Eden Terrace,2,8,12257.67,749.08,False,False,03:24:17.670000
Thu_00071,Four Square Ellerslie;Four Square Remuera;Four Square Eden Terrace,3,12,16793.99,1190.0,True,True,04:39:53.990000
Thu_00072,Four Square Eden Terrace;Four Square Ellerslie;Four Square Remuera;Four Square St Heliers,4,16,22593.02,1810.0,True,True,06:16:33.020000
Thu_00073,Four Square Ellerslie;New World Metro Queen St;Four Square Eden Terrace,3,12,17234.19,1190.0,True,True,04:47:14.190000
Thu_00074,New World Newmarket;Four Square Ellerslie;Four Square Eden Terrace,3,15,20038.57,1500.0,True,True,05:33:58.570000
Thu_00075,Four Square Ellerslie;New World Remuera;Four Square Eden Terrace,3,16,21215.92,1500.0,True,True,05:53:35.920000
Thu_00076,Four Square Ellerslie;New World Stonefields;Four Square Eden Terrace,3,16,21516.13,1500.0,True,True,05:58:36.130000
Thu_00077,Four Square Remuera;Four Square Eden Terrace,2,8,12266.07,749.59,False,False,03:24:26.070000
Thu_00078,Four Square Remuera;Four Square St Heliers;New World Metro Queen St;Four Square Eden Terrace,4,16,22726.44,1810.0,True,True,06:18:46.440000
Thu_00079,Four Square Remuera;New World Metro Queen St;Four Square Eden Terrace,3,12,17242.59,1190.0,True,True,04:47:22.590000
Thu_00080,New World Newmarket;Four Square Remuera;Four Square Eden Terrace,3,15,20046.97,1500.0,True,True,05:34:06.970000
Thu_00081,New World Remuera;Four Square Remuera;Four Square Eden Terrace,3,16,21007.1,1500.0,True,True,05:50:07.100000
Thu_00082,New World Stonefields;Four Square Remuera;Four Square Eden Terrace,3,16,21579.38,1500.0,True,True,05:59:39.380000
Thu_00083,Four Square Eden Terrace;New World Metro Queen St,2,8,11715.17,715.93,False,False,03:15:15.170000
Thu_00084,New World Remuera;New World Metro Queen St;Four Square Eden Terrace,3,16,21384.13,1500.0,True,True,05:56:24.130000
Thu_00085,Four Square Ellerslie,1,4,7720.42,471.8,False,False,02:08:40.420000
Thu_00086,Four Square Ellerslie;Four Square Remuera,2,8,12256.74,749.02,False,False,03:24:16.740000
Thu_00087,Four Square Ellerslie;Four Square Remuera;Four Square St Heliers,3,12,18000.98,1500.0,True,True,05:00:00.980000
Thu_00088,Four Square Ellerslie;Four Square Remuera;Four Square St Heliers;New World Metro Queen St,4,16,22710.88,1810.0,True,True,06:18:30.880000
Thu_00089,Four Square Ellerslie;Four Square Remuera;New World Metro Queen St,3,12,17227.03,1190.0,True,True,04:47:07.030000
Thu_00090,New World Newmarket;Four Square Ellerslie;Four Square Remuera,3,15,20037.64,1500.0,True,True,05:33:57.640000
Thu_00091,Four Square Ellerslie;Four Square Remuera;New World Remuera,3,16,21106.52,1500.0,True,True,05:51:46.520000
Thu_00092,Four Square Ellerslie;New World Stonefields;Four Square Remuera,3,16,21449.65,1500.0,True,True,05:57:29.650000
Thu_00093,Four Square Ellerslie;New World Metro Queen St,2,8,12690.71,775.54,True,False,03:31:30.710000
Thu_00094,New World Newmarket;Four Square Ellerslie;New World Metro Queen St,3,15,20471.61,1500.0,True,True,05:41:11.610000
Thu_00095,Four Square Ellerslie;New World Remuera,2,12,16678.66,1190.0,True,True,04:37:58.660000
Thu_00096,Four Square Ellerslie;New World Stonefields,2,12,16978.87,1190.0,True,True,04:42:58.870000
Thu_00097,Four Square Ellerslie;Pak 'n Save Glen Innes,2,14,20050.76,1500.0,True,True,05:34:10.760000
Thu_00098,Four Square Ellerslie;Pak 'n Save Sylvia Park,2,15,20368.85,1500.0,True,True,05:39:28.850000
Thu_00099,Four Square Hobsonville,1,4,8033.54,490.94,False,False,02:13:53.540000
Thu_00100,New World Hobsonville;Four Square Hobsonville,2,12,16732.02,1190.0,True,True,04:38:52.020000
Thu_00101,Four Square Lancaster,1,4,9165.84,560.13,False,False,02:32:45.840000
Thu_00102,Four Square Lancaster;Pak 'n Save Wairau Road,2,15,21419.9,1500.0,True,True,05:56:59.900000
Thu_00103,Four Square Remuera,1,4,7728.82,472.32,False,False,02:08:48.820000
Thu_00104,Four Square Remuera;Four Square St Heliers,2,8,13473.06,823.35,True,False,03:44:33.060000
Thu_00105,New World Newmarket;Four Square Remuera;Four Square St Heliers,3,15,21253.96,1500.0,True,True,05:54:13.960000
Thu_00106,New World Remuera;Four Square Remuera,2,12,16469.85,1190.0,True,True,04:34:29.850000
Thu_00107,New World Stonefields;Four Square Remuera,2,12,17042.13,1190.0,True,True,04:44:02.130000
Thu_00108,Four Square Remuera;Pak 'n Save Glen Innes,2,14,19998.51,1500.0,True,True,05:33:18.510000
Thu_00109,Four Square Remuera;Pak 'n Save Sylvia Park,2,15,20669.29,1500.0,True,True,05:44:29.290000
Thu_00110,Four Square St Heliers,1,4,9117.79,557.2,False,False,02:31:57.790000
Thu_00111,New World Stonefields;Four Square St Heliers,2,12,17964.96,1190.0,True,True,04:59:24.960000
Thu_00112,Pak 'n Save Glen Innes;Four Square St Heliers,2,14,20277.14,1500.0,True,True,05:37:57.140000
Thu_00113,Four Square Torbay,1,4,10576.52,646.34,False,False,02:56:16.520000
Thu_00114,Four Square Torbay;New World Browns Bay,2,12,19373.24,1500.0,True,True,05:22:53.240000
