route_id,stops,num_stops,total_pallets,total_duration_sec,total_duration_hms
Sat_0059,New World Mt Roskill;Pak 'n Save Mt Albert;Pak 'n Save Royal Oak,3,13,5665.65,01:34:25
Sat_0060,New World New Lynn;Pak 'n Save Mt Albert;New World Mt Albert,3,11,5670.3,01:34:30
Sat_0061,New World Mt Roskill;New World Mt Albert;New World New Lynn,3,8,5697.2,01:34:57
Sat_0062,Pak 'n Save Mangere;New World Mt Albert,2,9,5721.18,01:35:21
Sat_0063,Pak 'n Save Lincoln Road;Pak 'n Save Henderson,2,14,5741.95,01:35:41
Sat_0064,Pak 'n Save Manukau;New World Papatoetoe,2,9,5748.03,01:35:48
Sat_0065,Pak 'n Save Henderson;Pak 'n Save Lincoln Road,2,14,5759.7,01:35:59
Sat_0066,New World Papatoetoe;Pak 'n Save Manukau,2,9,5759.87,01:35:59
Sat_0067,Pak 'n Save Royal Oak;Pak 'n Save Sylvia Park,2,12,5829.77,01:37:09
Sat_0068,Pak 'n Save Mt Albert;Four Square Onehunga;Pak 'n Save Royal Oak,3,12,5845.88,01:37:25
Sat_0069,Four Square Fair Price Henderson;Pak 'n Save Henderson,2,8,5847.13,01:37:27
Sat_0070,New World Green Bay;Pak 'n Save Mangere,2,9,5855.16,01:37:35
Sat_0071,Pak 'n Save Mt Albert;New World Green Bay;New World New Lynn,3,11,5888.82,01:38:08
Sat_0072,New World Mt Albert;Pak 'n Save Henderson,2,10,5906.18,01:38:26
Sat_0073,New World Mt Roskill;Pak 'n Save Mt Albert;Four Square Eden Terrace,3,8,5913.08,01:38:33
Sat_0074,New World Mt Albert;Pak 'n Save Mt Albert;New World Green Bay,3,11,5917.15,01:38:37
Sat_0075,New World Green Bay;Pak 'n Save Henderson,2,10,5963.92,01:39:23
Sat_0076,Pak 'n Save Sylvia Park;Pak 'n Save Royal Oak,2,12,5972.79,01:39:32
Sat_0077,Pak 'n Save Mt Albert;New World Papatoetoe,2,8,5992.76,01:39:52
Sat_0078,Four Square Glen Eden;Pak 'n Save Lincoln Road,2,8,5994.08,01:39:54
Sat_0079,New World Mt Albert;New World Green Bay;New World Mt Roskill,3,8,6007.45,01:40:07
Sat_0080,New World Mt Roskill;Pak 'n Save Clendon,2,8,6008.78,01:40:08
Sat_0081,New World Point Chevalier;Pak 'n Save Westgate,2,8,6012.1,01:40:12
Sat_0082,Pak 'n Save Lincoln Road;Pak 'n Save Royal Oak,2,13,6018.66,01:40:18
Sat_0083,Four Square Onehunga;Pak 'n Save Mt Albert;New World Mt Albert,3,9,6022.17,01:40:22
Sat_0084,New World Mt Albert;Pak 'n Save Mt Albert;Pak 'n Save Royal Oak,3,14,6101.31,01:41:41
Sat_0085,Pak 'n Save Westgate;New World Hobsonville,2,8,6140.69,01:42:20
Sat_0086,Pak 'n Save Royal Oak;New World Eastridge,2,9,6160.53,01:42:40
Sat_0087,New World Green Bay;New World Mt Albert;Pak 'n Save Mt Albert,3,11,6162.59,01:42:42
Sat_0088,New World Hobsonville;Pak 'n Save Westgate,2,8,6211.51,01:43:31
Sat_0089,Pak 'n Save Mt Albert;New World Hobsonville,2,8,6283.46,01:44:43
Sat_0090,Pak 'n Save Manukau;Pak 'n Save Mt Albert,2,11,6297.99,01:44:57
Sat_0091,New World New Lynn;Four Square Onehunga;Pak 'n Save Royal Oak,3,10,6309.16,01:45:09
Sat_0092,New World New Lynn;Pak 'n Save Mt Albert;Pak 'n Save Royal Oak,3,14,6324.99,01:45:24
Sat_0093,Four Square Pakuranga Heights;Pak 'n Save Royal Oak,2,8,6325.28,01:45:25
Sat_0094,New World Mt Roskill;Pak 'n Save Mt Albert;New World Newmarket,3,10,6343.53,01:45:43
Sat_0095,New World Mt Albert;Pak 'n Save Mt Albert;Four Square Eden Terrace,3,9,6348.74,01:45:48
Sat_0096,New World Green Bay;Four Square Glen Eden;Pak 'n Save Mt Albert,3,9,6354.61,01:45:54
Sat_0097,New World Mt Roskill;New World Green Bay;Pak 'n Save Royal Oak,3,11,6356.82,01:45:56
Sat_0098,New World Mt Roskill;New World Victoria Park;Pak 'n Save Mt Albert,3,10,6358.85,01:45:58
Sat_0099,Pak 'n Save Royal Oak;Four Square Onehunga;New World Newmarket,3,10,6379.82,01:46:19
Sat_0100,New World Mt Roskill;Pak 'n Save Mangere;Pak 'n Save Mt Albert,3,13,6382.29,01:46:22
Sat_0101,Pak 'n Save Manukau;New World Southmall,2,9,6413.49,01:46:53
Sat_0102,New World Southmall;Pak 'n Save Clendon,2,9,6429.41,01:47:09
Sat_0103,New World Point Chevalier;Pak 'n Save Mt Albert;Four Square Onehunga,3,9,6455.56,01:47:35
Sat_0104,Pak 'n Save Clendon;New World Southmall,2,9,6467.84,01:47:47
Sat_0105,Pak 'n Save Mt Albert;New World Green Bay;Four Square Glen Eden,3,9,6494.79,01:48:14
Sat_0106,New World Papatoetoe;Pak 'n Save Clendon,2,9,6495.35,01:48:15
Sat_0107,New World Metro Queen St;Pak 'n Save Lincoln Road,2,9,6497.38,01:48:17
Sat_0108,New World Victoria Park;New World Point Chevalier;Pak 'n Save Mt Albert,3,11,6511.63,01:48:31
Sat_0109,New World Mt Roskill;New World Mt Albert;Pak 'n Save Lincoln Road,3,12,6518.42,01:48:38
Sat_0110,Pak 'n Save Mangere;New World Southmall,2,9,6521.34,01:48:41
Sat_0111,New World Devonport,1,3,6588.05,01:49:48
Sat_0112,Pak 'n Save Manukau;Pak 'n Save Sylvia Park,2,12,6592.36,01:49:52
Sat_0113,Pak 'n Save Manukau;New World Ormiston,2,9,6595.06,01:49:55
Sat_0114,Pak 'n Save Clendon;New World Papatoetoe,2,9,6597.14,01:49:57
Sat_0115,New World Newmarket;Pak 'n Save Mangere,2,9,6617.63,01:50:17
Sat_0116,New World Stonefields;Pak 'n Save Sylvia Park,2,9,6637.45,01:50:37
Sat_0117,New World Ormiston;Pak 'n Save Ormiston,2,9,6637.46,01:50:37
Sat_0118,Pak 'n Save Ormiston;New World Ormiston,2,9,6648.47,01:50:48
Sat_0119,New World Ormiston;Pak 'n Save Manukau,2,9,6670.32,01:51:10
Sat_0120,Pak 'n Save Manukau;Pak 'n Save Clendon,2,12,6710.52,01:51:50
Sat_0121,Pak 'n Save Wairau Road;Pak 'n Save Mt Albert,2,10,6726.98,01:52:06
Sat_0122,New World Remuera;Four Square Ellerslie;Pak 'n Save Royal Oak,3,9,6727.86,01:52:07
Sat_0123,Pak 'n Save Royal Oak;New World Metro Queen St;Pak 'n Save Mt Albert,3,13,6730.62,01:52:10
Sat_0124,Pak 'n Save Manukau;New World New Lynn,2,9,6731.7,01:52:11
Sat_0125,New World Southmall;Pak 'n Save Royal Oak,2,9,6739.1,01:52:19
Sat_0126,Pak 'n Save Clendon;Pak 'n Save Royal Oak,2,12,6752.46,01:52:32
Sat_0127,New World Papatoetoe;Pak 'n Save Ormiston,2,9,6762.85,01:52:42
Sat_0128,Pak 'n Save Mt Albert;Pak 'n Save Wairau Road,2,10,6784.43,01:53:04
Sat_0129,New World Metro Queen St;Pak 'n Save Royal Oak;Four Square Onehunga,3,9,6793.02,01:53:13
Sat_0130,New World Mt Roskill;Pak 'n Save Mangere;New World Papatoetoe,3,11,6802.6,01:53:22
Sat_0131,New World Mt Roskill;Pak 'n Save Mt Albert;New World Remuera,3,9,6839.06,01:53:59
Sat_0132,New World Mt Roskill;Pak 'n Save Lincoln Road;Pak 'n Save Henderson,3,16,6863.4,01:54:23
Sat_0133,Pak 'n Save Wairau Road;New World Milford,2,8,6868.55,01:54:28
Sat_0134,New World Mt Roskill;Pak 'n Save Papakura,2,8,6873.07,01:54:33
Sat_0135,New World Mt Roskill;Pak 'n Save Henderson;Pak 'n Save Lincoln Road,3,16,6881.14,01:54:41
Sat_0136,Pak 'n Save Lincoln Road;Pak 'n Save Henderson;New World Mt Roskill,3,16,6889.52,01:54:49
Sat_0137,New World Mt Albert;Pak 'n Save Mt Albert;New World Metro Queen St,3,10,6897.74,01:54:57
Sat_0138,New World Mt Roskill;Pak 'n Save Henderson;New World New Lynn,3,12,6912.19,01:55:12
Sat_0139,New World Metro Queen St;New World Newmarket;Pak 'n Save Mt Albert,3,10,6924.29,01:55:24
Sat_0140,New World Milford;Pak 'n Save Wairau Road,2,8,6932.33,01:55:32
Sat_0141,Pak 'n Save Royal Oak;New World Newmarket;Four Square Remuera,3,10,6936.54,01:55:36
Sat_0142,New World Mt Roskill;Pak 'n Save Royal Oak;Pak 'n Save Sylvia Park,3,14,6951.22,01:55:51
Sat_0143,Pak 'n Save Lincoln Road;Four Square Fair Price Henderson;Pak 'n Save Henderson,3,15,6960.51,01:56:00
Sat_0144,New World Mt Roskill;Pak 'n Save Royal Oak;New World Papatoetoe,3,11,6965.89,01:56:05
Sat_0145,New World Mt Roskill;Pak 'n Save Royal Oak;New World Mt Albert;Pak 'n Save Mt Albert,4,16,6994.05,01:56:34
Sat_0146,Pak 'n Save Mt Albert;New World Mt Albert;Pak 'n Save Mangere,3,14,7007.71,01:56:47
Sat_0147,New World Mt Roskill;Pak 'n Save Westgate;Pak 'n Save Lincoln Road,3,14,7008.94,01:56:48
Sat_0148,New World Mt Roskill;New World Mt Albert;Pak 'n Save Henderson,3,12,7027.62,01:57:07
Sat_0149,New World Mt Roskill;Pak 'n Save Mangere;New World Point Chevalier,3,11,7028.72,01:57:08
Sat_0150,Pak 'n Save Mt Albert;New World Milford,2,8,7030.68,01:57:10
Sat_0151,New World Mt Roskill;New World New Lynn;Pak 'n Save Henderson,3,12,7038.33,01:57:18
Sat_0152,Pak 'n Save Mangere;Pak 'n Save Westgate,2,11,7062.12,01:57:42
Sat_0153,New World Mt Roskill;Pak 'n Save Mt Albert;New World Mt Albert;Four Square Eden Terrace,4,11,7072.91,01:57:52
Sat_0154,New World Mt Roskill;Pak 'n Save Royal Oak;Pak 'n Save Lincoln Road,3,15,7080.43,01:58:00
Sat_0155,New World Mt Roskill;New World Papatoetoe;Pak 'n Save Royal Oak,3,11,7112.44,01:58:32
Sat_0156,New World Mt Roskill;Pak 'n Save Henderson;New World Mt Albert,3,12,7122.96,01:58:42
Sat_0157,New World Birkenhead;Pak 'n Save Wairau Road,2,8,7124.94,01:58:44
Sat_0158,Pak 'n Save Botany;New World Botany,2,9,7131.01,01:58:51
