Supermarket,Weekday,Pallet Size
New World Metro Queen St,Tuesday,2
New World Metro Queen St,Wednesday,3
New World Metro Queen St,Thursday,3
New World Metro Queen St,Friday,4
New World Metro Queen St,Saturday,1
New World Metro Queen St,Sunday,
New World Metro Shore City,Monday,2
New World Metro Shore City,Tuesday,3
New World Metro Shore City,Wednesday,1
New World Metro Shore City,Thursday,3
New World Metro Shore City,Friday,3
New World Metro Shore City,Saturday,0
New World Metro Shore City,Sunday,
New World Milford,Monday,7
New World Milford,Tuesday,9
New World Milford,Wednesday,8
New World Milford,Thursday,8
New World Milford,Friday,8
New World Milford,Saturday,2
New World Milford,Sunday,
New World Mt Albert,Monday,7
New World Mt Albert,Tuesday,8
New World Mt Albert,Wednesday,7
New World Mt Albert,Thursday,10
New World Mt Albert,Friday,6
New World Mt Albert,Saturday,3
New World Mt Albert,Sunday,
New World Mt Roskill,Monday,7
New World Mt Roskill,Tuesday,7
New World Mt Roskill,Wednesday,8
New World Mt Roskill,Thursday,8
New World Mt Roskill,Friday,8
New World Mt Roskill,Saturday,2
New World Mt Roskill,Sunday,
New World New Lynn,Monday,6
New World New Lynn,Tuesday,7
New World New Lynn,Wednesday,7
New World New Lynn,Thursday,7
New World New Lynn,Friday,9
New World New Lynn,Saturday,3
New World New Lynn,Sunday,
New World Newmarket,Monday,7
New World Newmarket,Tuesday,6
New World Newmarket,Wednesday,8
New World Newmarket,Thursday,7
New World Newmarket,Friday,8
New World Newmarket,Saturday,2
New World Newmarket,Sunday,
New World Ormiston,Monday,7
New World Ormiston,Tuesday,6
New World Ormiston,Wednesday,6
New World Ormiston,Thursday,8
New World Ormiston,Friday,8
New World Ormiston,Saturday,3
New World Ormiston,Sunday,
New World Papakura,Monday,9
New World Papakura,Tuesday,7
New World Papakura,Wednesday,6
New World Papakura,Thursday,7
New World Papakura,Friday,8
New World Papakura,Saturday,3
New World Papakura,Sunday,
New World Papatoetoe,Monday,7
New World Papatoetoe,Tuesday,7
New World Papatoetoe,Wednesday,7
New World Papatoetoe,Thursday,7
New World Papatoetoe,Friday,7
New World Papatoetoe,Saturday,2
New World Papatoetoe,Sunday,
New World Point Chevalier,Monday,7
New World Point Chevalier,Tuesday,6
New World Point Chevalier,Wednesday,6
New World Point Chevalier,Thursday,7
New World Point Chevalier,Friday,6
New World Point Chevalier,Saturday,3
New World Point Chevalier,Sunday,
New World Remuera,Monday,9
New World Remuera,Tuesday,8
New World Remuera,Wednesday,8
New World Remuera,Thursday,6
New World Remuera,Friday,8
New World Remuera,Saturday,1
New World Remuera,Sunday,
New World Southmall,Monday,8
New World Southmall,Tuesday,6
New World Southmall,Wednesday,7
New World Southmall,Thursday,7
New World Southmall,Friday,6
New World Southmall,Saturday,3
New World Southmall,Sunday,
New World Stonefields,Monday,7
New World Stonefields,Tuesday,6
New World Stonefields,Wednesday,9
New World Stonefields,Thursday,8
New World Stonefields,Friday,8
New World Stonefields,Saturday,3
New World Stonefields,Sunday,
New World Victoria Park,Monday,9
New World Victoria Park,Tuesday,8
New World Victoria Park,Wednesday,6
New World Victoria Park,Thursday,8
New World Victoria Park,Friday,7
New World Victoria Park,Saturday,3
New World Victoria Park,Sunday,
Pak 'n Save Albany,Monday,9
Pak 'n Save Albany,Tuesday,12
Pak 'n Save Albany,Wednesday,11
Pak 'n Save Albany,Thursday,12
Pak 'n Save Albany,Friday,10
Pak 'n Save Albany,Saturday,5
Pak 'n Save Albany,Sunday,
Pak 'n Save Botany,Monday,11
Pak 'n Save Botany,Tuesday,12
Pak 'n Save Botany,Wednesday,10
Pak 'n Save Botany,Thursday,7
Pak 'n Save Botany,Friday,10
Pak 'n Save Botany,Saturday,5
Pak 'n Save Botany,Sunday,
Pak 'n Save Clendon,Monday,12
Pak 'n Save Clendon,Tuesday,11
Pak 'n Save Clendon,Wednesday,11
Pak 'n Save Clendon,Thursday,10
Pak 'n Save Clendon,Friday,12
Pak 'n Save Clendon,Saturday,6
Pak 'n Save Clendon,Sunday,
Pak 'n Save Glen Innes,Monday,10
Pak 'n Save Glen Innes,Tuesday,11
Pak 'n Save Glen Innes,Wednesday,13
Pak 'n Save Glen Innes,Thursday,10
Pak 'n Save Glen Innes,Friday,8
Pak 'n Save Glen Innes,Saturday,6
Pak 'n Save Glen Innes,Sunday,
Pak 'n Save Henderson,Monday,12
Pak 'n Save Henderson,Tuesday,8
Pak 'n Save Henderson,Wednesday,11
Pak 'n Save Henderson,Thursday,10
Pak 'n Save Henderson,Friday,11
Pak 'n Save Henderson,Saturday,7
Pak 'n Save Henderson,Sunday,
Pak 'n Save Highland Park,Monday,12
Pak 'n Save Highland Park,Tuesday,11
Pak 'n Save Highland Park,Wednesday,10
Pak 'n Save Highland Park,Thursday,9
Pak 'n Save Highland Park,Friday,9
Pak 'n Save Highland Park,Saturday,5
Pak 'n Save Highland Park,Sunday,
Pak 'n Save Lincoln Road,Monday,8
Pak 'n Save Lincoln Road,Tuesday,11
Pak 'n Save Lincoln Road,Wednesday,9
Pak 'n Save Lincoln Road,Thursday,13
Pak 'n Save Lincoln Road,Friday,10
Pak 'n Save Lincoln Road,Saturday,7
Pak 'n Save Lincoln Road,Sunday,
Pak 'n Save Mangere,Monday,11
Pak 'n Save Mangere,Tuesday,10
Pak 'n Save Mangere,Wednesday,11
Pak 'n Save Mangere,Thursday,8
Pak 'n Save Mangere,Friday,9
Pak 'n Save Mangere,Saturday,6
Pak 'n Save Mangere,Sunday,
Pak 'n Save Manukau,Monday,10
Pak 'n Save Manukau,Tuesday,11
Pak 'n Save Manukau,Wednesday,12
Pak 'n Save Manukau,Thursday,8
Pak 'n Save Manukau,Friday,11
Pak 'n Save Manukau,Saturday,6
Pak 'n Save Manukau,Sunday,
Pak 'n Save Mt Albert,Monday,10
Pak 'n Save Mt Albert,Tuesday,8
Pak 'n Save Mt Albert,Wednesday,11
Pak 'n Save Mt Albert,Thursday,10
Pak 'n Save Mt Albert,Friday,12
Pak 'n Save Mt Albert,Saturday,5
Pak 'n Save Mt Albert,Sunday,
Pak 'n Save Ormiston,Monday,13
Pak 'n Save Ormiston,Tuesday,11
Pak 'n Save Ormiston,Wednesday,10
Pak 'n Save Ormiston,Thursday,9
Pak 'n Save Ormiston,Friday,10
Pak 'n Save Ormiston,Saturday,6
Pak 'n Save Ormiston,Sunday,
Pak 'n Save Papakura,Monday,9
Pak 'n Save Papakura,Tuesday,11
Pak 'n Save Papakura,Wednesday,11
Pak 'n Save Papakura,Thursday,11
Pak 'n Save Papakura,Friday,10
Pak 'n Save Papakura,Saturday,5
Pak 'n Save Papakura,Sunday,
Pak 'n Save Royal Oak,Monday,11
Pak 'n Save Royal Oak,Tuesday,12
Pak 'n Save Royal Oak,Wednesday,10
Pak 'n Save Royal Oak,Thursday,11
Pak 'n Save Royal Oak,Friday,10
Pak 'n Save Royal Oak,Saturday,6
